medpred,infpred,suppred
13.505203980099504,4.993,25.7
10.837019900497513,3.66,22.647
10.351945273631841,3.51,25.537
19.600074626865673,6.53,36.6
33.94796517412935,12.13,62.6
45.37284577114428,18.572,90.537
57.110895523383086,24.1,120.48
57.00973631940298,24.1,120.48
83.89300558826815,25.228,173.0
110.86517751538462,36.882,321.453
62.11962189154229,24.1,137.459
48.023975124378104,18.572,93.989
29.842706467661692,9.261,65.09
22.51663184079602,7.16,44.9
20.491437810945275,7.065,37.603
77.69536413206521,24.841,171.0
114.53951190535714,38.134,323.235
52.860407961194035,24.1,115.0
48.15890049751244,18.572,93.989
29.745781094527363,9.261,65.09
21.35355223880597,7.065,40.669
16.422616915422886,5.868,33.869
15.778721393034827,6.036,30.3
16.111661691542285,6.084,36.1
21.232502487562186,6.782,38.239
17.485412935323385,6.169,31.9
24.717318407960196,7.56,42.202
25.0377960199005,7.346,45.733
99.34489535058141,31.1,303.387
54.68519403084577,24.1,115.0
53.86995522487562,24.1,115.0
31.543383084577112,10.848,65.09
21.340746268656716,7.065,40.669
25.872373134328356,7.346,45.733
44.1745223880597,18.3,90.537
28.51852736318408,11.0,47.899
19.76116417910448,6.53,36.6
25.902985074626866,7.346,45.733
29.842706467661692,9.261,65.09
22.393218905472636,7.16,44.9
16.115199004975125,6.084,36.1
15.035393034825873,5.823,26.8
13.319537313432836,4.05,27.669
13.55294527363184,4.993,25.378
12.96034825870647,5.218,24.844
11.634631840796024,3.66,24.434
10.606487562189054,3.66,22.647
10.049716417910448,3.52,22.041
10.425268656716419,3.954,25.537
10.243890547263682,3.503,25.537
9.670935323383084,3.098,20.578
12.341238805970148,4.176,28.305
11.235422885572142,3.66,26.67
10.13587064676617,3.293,23.91
8.757084577114428,2.967,17.932
8.064985074626865,2.642,17.3
13.865756218905473,5.463,25.243
12.211358208955222,4.176,28.305
9.379731343283582,2.88,20.414
7.983318407960199,2.642,17.3
10.508437810945273,3.954,25.537
13.514223880597017,4.993,25.378
10.250681592039802,3.503,25.537
7.845124378109452,2.647,16.234
15.074303482587066,6.036,26.8
13.32217910447761,4.05,27.669
13.406223880597015,4.993,25.378
10.441711442786067,3.954,25.537
7.9490895522388065,2.647,16.312
12.902402985074628,5.0,28.305
9.379069651741293,2.88,20.414
13.434522388059701,4.993,25.7
10.24279104477612,3.729,25.537
8.281487562189056,2.36,16.5
38.451527363184084,14.352,75.544
67.23913775612245,24.841,171.0
56.33202487661691,24.1,115.0
30.791631840796022,9.261,65.09
18.426402985074624,6.169,31.9
17.04581592039801,6.905,31.9
13.676885572139303,5.167,27.669
22.572736318407966,7.16,44.9
16.11713432835821,6.084,36.1
13.219139303482587,5.443,24.844
36.11739303482587,12.13,71.451
24.040865671641786,7.56,41.2
16.623039800995024,6.169,31.9
13.468034825870646,4.993,25.378
10.391850746268656,3.565,20.7
16.574681592039802,6.084,36.1
13.925621890547264,5.202,27.669
10.20958208955224,3.765,24.74
10.13587064676617,3.293,23.91
11.39387064676617,3.66,24.434
13.475213930348259,4.993,25.378
13.215437810945273,4.05,27.669
11.004666666666667,3.66,24.74
9.508835820895522,2.88,20.414
8.492880597014926,2.904,17.441
8.475985074626866,2.904,17.441
8.59041791044776,2.748,17.702
9.074169154228855,2.814,20.408
8.382776119402985,2.462,16.546
6.382064676616916,1.83,12.943
5.786691542288557,1.713,11.4
5.843318407960198,1.806,13.3
5.515960199004974,1.641,11.255
5.833258706467662,1.38,19.7
6.02665671641791,1.83,11.4
5.819860696517413,1.641,12.0
5.5359253731343285,1.22,10.8
5.446701492537312,1.417,22.048
5.119711442786069,1.46,20.707
4.672338308457712,1.164,9.68
7.657920398009951,2.452,16.5
7.815621890547264,2.36,16.036
5.63660199004975,1.824,11.063
5.755592039800995,1.641,12.0
5.814731343283582,1.44,10.8
4.995452736318408,1.35,12.688
4.332004975124378,0.637,16.3
3.724422885572139,0.88,9.852
4.273771144278607,0.745,9.9
8.324830845771146,2.372,16.5
5.847019900497513,1.713,12.0
4.452587064676617,1.12,10.815
3.9896318407960196,0.88,9.852
3.319412935323383,0.887,7.81
2.8683184079601984,0.84,7.59
2.668925373134328,0.621,7.59
2.5253980099502487,0.619,6.75
6.279651741293533,1.691,12.147
5.518701492537313,1.22,12.946
3.7396218905472636,0.88,9.852
2.6465721393034825,0.621,6.69
2.4934776119402984,0.582,7.6
2.1803383084577117,0.582,5.711
2.166009950248756,0.641,5.711
5.7804179104477615,1.824,12.0
5.300915422885572,1.35,20.707
4.2898606965174135,0.745,10.0
2.4824776119402987,0.567,7.6
2.140054726368159,0.621,6.8
1.8154179114427862,0.498,4.25
1.7177512452736317,0.469,3.616
1.7408656731343284,0.469,3.72
1.7562885587064678,0.459,6.14
1.7493432850746269,0.471,6.14
1.6089403000000002,0.459,5.75
5.848830845771145,1.713,11.545
4.755099502487563,1.35,10.897
2.6071044776119403,0.621,6.75
1.7860945283582088,0.498,4.25
1.6835323402985076,0.459,5.75
1.5960646776119403,0.436,5.15
1.6228258711442787,0.442,5.15
1.6533333333333333,0.479,5.15
1.5414228855721395,0.479,4.83
1.5186417910447763,0.479,4.83
1.444955223880597,0.481,4.68
1.6227910452736318,0.442,4.89
1.5254228855721395,0.479,4.83
1.4000547263681593,0.473,7.55
1.4484378109452736,0.458,7.55
1.3416616915422885,0.472,7.14
1.4084378109452738,0.473,7.55
1.3217611940298506,0.472,7.14
1.215407960199005,0.446,5.59
1.140497512437811,0.446,5.24
1.0581691542288558,0.429,5.0
3.9660597014925374,0.88,9.9
2.6258656716417907,0.621,5.566
1.7485074646766168,0.459,3.99
1.40326368159204,0.466,4.73
1.2157064676616915,0.446,5.59
5.165218905472636,1.22,12.345
4.290333333333333,0.745,10.0
1.770014926368159,0.498,3.72
1.6533333333333333,0.479,5.15
1.3796616915422886,0.458,7.53
1.191592039800995,0.446,5.59
1.0660796019900496,0.429,5.0
0.9615174129353233,0.42,4.52
0.9205671641791044,0.411,2.95
0.8829253731343284,0.411,2.84
0.8281592039800996,0.389,2.65
0.780641791044776,0.382,2.56
0.7613731343283582,0.382,2.56
1.1960547263681591,0.446,5.59
0.9427164179104477,0.42,2.95
2.8620945273631837,0.933,6.69
1.8657014930348255,0.591,4.29
4.439228855721393,0.754,10.815
2.4677711442786068,0.567,7.6
1.548686569154229,0.436,3.99
1.4222388059701492,0.472,7.55
1.0258955223880597,0.428,4.79
1.849895522885572,0.517,4.29
1.7562885587064678,0.459,6.14
1.6456567164179106,0.479,5.15
1.2763283582089553,0.458,6.73
0.9356716417910448,0.42,2.95
0.7859203980099501,0.382,2.56
0.7163980099502488,0.38,2.56
0.6727462686567163,0.38,1.84
0.6407611940298508,0.344,0.945
0.6243333333333334,0.33,0.92
0.5977164179104478,0.323,0.86
0.5691990049751243,0.322,0.836
0.5661791044776119,0.323,0.807
0.70818407960199,0.381,2.53
6.60676119402985,1.919,14.369
8.022298507462686,2.843,17.3
5.1726716417910446,1.22,13.5
2.4405721393034825,0.561,7.6
1.5984179114427859,0.436,5.15
4.273487562189055,0.637,16.3
7.118462686567164,2.094,15.758
5.708064676616915,1.38,10.8
4.995960199004975,1.35,12.688
2.652383084577115,0.621,6.69
2.407592039800995,0.561,7.6
8.49976616915423,2.814,17.441
9.39960696517413,2.88,20.414
5.786412935323383,1.637,11.4
3.7796517412935327,0.65,9.9
2.5253980099502487,0.619,6.75
6.545940298507462,1.947,13.963
5.504492537313432,1.46,22.048
2.8535970149253735,0.887,7.59
1.856975124875622,0.591,4.29
1.7757910467661695,0.44,6.63
22.800656716417908,7.201,40.53
25.287398009950248,7.346,45.733
15.074303482587066,6.036,26.8
57.01181094626866,24.1,120.48
55.52031343383085,24.1,115.0
27.181069651741296,11.0,45.733
14.309099502487562,5.589,25.243
8.802766169154228,2.88,20.347
7.168606965174129,2.387,15.758
5.87336815920398,1.83,11.4
5.830636815920398,1.713,11.545
5.755592039800995,1.641,12.0
5.505636815920397,1.641,10.8
5.568736318407961,1.718,10.8
5.839606965174129,1.641,12.0
40.66388557213931,15.629,75.544
25.192800995024875,7.346,45.733
14.328353233830844,5.589,25.243
8.77270646766169,2.88,20.347
7.67018407960199,2.387,16.036
26.74325870646766,7.687,45.733
254.75347826086957,111.365,627.0
314.4194,142.0,627.0
123.67816083986014,39.65,370.0
45.306990049751235,18.572,90.537
50.652985075124384,22.215,115.0
31.345676616915423,10.835,62.6
22.494592039801,7.16,44.9
16.66194029850746,6.169,31.9
17.15799004975124,6.905,31.9
22.51663184079602,7.16,44.9
30.47773631840796,9.261,65.09
70.0013874356021,24.841,158.872
66.69411675228426,24.841,171.0
40.68465671641791,15.629,75.544
29.842706467661692,9.261,65.09
22.87192537313433,7.201,40.53
19.02976616915423,6.53,35.8
20.827835820895526,7.065,38.239
21.762597014925372,7.065,42.367
22.540980099502487,7.16,44.9
22.60362686567164,7.56,42.367
18.31505472636816,6.122,31.9
14.885149253731344,5.823,26.8
14.10621393034826,5.467,26.8
13.980771144278608,5.202,25.243
13.494925373134329,4.993,25.378
11.841671641791047,3.66,24.434
10.606810945273631,3.565,22.816
10.20958208955224,3.765,24.74
10.420482587064676,3.51,25.537
10.202398009950247,3.284,25.714
9.54920895522388,2.88,20.414
8.783507462686565,2.88,20.347
8.83536815920398,2.967,17.932
8.515616915422886,2.814,17.647
8.159139303482588,2.843,17.3
7.820288557213929,2.647,16.234
8.369368159203981,2.372,16.546
8.20207960199005,2.39,16.5
8.415626865671642,2.387,16.903
8.447258706467661,2.452,16.5
7.182099502487563,2.387,15.758
6.508522388059701,1.947,12.943
6.091000000000001,1.691,11.468
6.2313681592039805,1.691,11.707
54.122741294527366,24.1,115.0
56.12268656815921,24.1,115.0
30.791631840796022,9.261,65.09
22.59853731343284,7.201,40.53
28.23572139303483,11.0,47.899
18.570218905472636,6.169,32.609
